run_ts,ticker,timeframe,direction,composite_score,wyckoff_score,range_score,volume_score,spring_score,confirmation_score,rs_vs_spy,vol_contraction,mtf_agree,trend_context,data_quality_flag,feat_volume_ratio,feat_volume_pctile,feat_spread_atr,feat_spread_pctile,feat_close_position,made_watchlist,transition
2026-06-17T11:52:50+00:00,CMG,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8756,32.0,0.786,32.0,0.0455,False,none
2026-06-17T11:52:50+00:00,CMI,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.4087,92.0,1.0683,76.0,0.7222,False,none
2026-06-17T11:52:50+00:00,CMS,daily,accumulation,19.75,19.75,0.0,0.0,100.0,-1.24,,,n/a,-1.24,,0.8508,36.0,0.7785,36.0,0.3738,False,none
2026-06-17T11:52:50+00:00,CNP,daily,none,8.28,8.28,-18.2,0.0,0.0,-18.65,,,n/a,-18.65,,1.0748,64.0,1.3381,92.0,0.6759,False,none
2026-06-17T11:52:50+00:00,COF,daily,distribution,16.26,16.26,-20.91,0.0,0.0,-55.17,,,n/a,-55.17,,1.1493,80.0,0.9256,64.0,0.9429,False,none
2026-06-17T11:52:50+00:00,COHR,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.9852,48.0,1.2222,84.0,0.0228,False,none
2026-06-17T11:52:50+00:00,COIN,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.0085,56.0,0.4604,8.0,0.1704,False,none
2026-06-17T11:52:50+00:00,COO,daily,none,3.73,3.73,0.0,0.0,0.0,18.65,,,n/a,18.65,,0.9204,44.0,0.6247,20.0,0.0541,False,none
2026-06-17T11:52:50+00:00,COP,daily,accumulation,31.07,31.07,77.8,0.0,0.0,58.12,,,n/a,58.12,,1.3407,88.0,0.5562,8.0,0.9894,False,none
2026-06-17T11:52:50+00:00,COR,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.6766,16.0,0.898,52.0,0.8161,False,none
2026-06-17T11:52:50+00:00,COST,daily,none,0.38,0.38,4.98,0.0,0.0,-8.12,,,n/a,-8.12,,0.7077,4.0,0.9564,64.0,0.6085,False,none
2026-06-17T11:52:50+00:00,CPAY,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0,52.0,0.9342,60.0,0.8494,False,none
2026-06-17T11:52:50+00:00,CPB,daily,none,5.15,5.15,0.0,0.0,0.0,-25.77,,,n/a,-25.77,,1.2217,72.0,1.1775,80.0,0.1098,False,none
2026-06-17T11:52:50+00:00,CPRT,daily,none,1.2,1.2,58.99,0.0,-100.0,32.26,,,n/a,32.26,,1.0847,64.0,0.51,4.0,0.6923,False,none
2026-06-17T11:52:50+00:00,CPT,daily,distribution,26.49,26.49,-39.27,0.0,0.0,-83.35,,,n/a,-83.35,,1.1585,68.0,1.3178,92.0,0.2827,False,none
2026-06-17T11:52:50+00:00,CRH,daily,none,6.95,6.95,-1.32,0.0,100.0,-63.6,,,n/a,-63.6,,1.1709,64.0,0.7389,36.0,0.8346,False,none
2026-06-17T11:52:50+00:00,CRL,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8506,24.0,0.6616,12.0,0.028,False,none
2026-06-17T11:52:50+00:00,CRM,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.1973,72.0,0.6716,44.0,0.2086,False,none
2026-06-17T11:52:50+00:00,CRWD,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,0.7204,20.0,0.8009,40.0,0.8399,False,none
2026-06-17T11:52:50+00:00,CSCO,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.6756,4.0,0.3346,4.0,0.2357,False,none
2026-06-17T11:52:50+00:00,CSGP,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8213,24.0,0.7231,16.0,0.3056,False,none
2026-06-17T11:52:50+00:00,CSX,daily,distribution,36.12,36.12,-64.47,0.0,0.0,-100.0,,,n/a,-100.0,,0.8596,28.0,1.0963,76.0,0.1058,False,none
2026-06-17T11:52:50+00:00,CTAS,daily,none,1.2,1.2,0.0,0.0,0.0,5.99,,,n/a,5.99,,1.3411,84.0,0.6183,20.0,0.9148,False,none
2026-06-17T11:52:50+00:00,CTSH,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0704,80.0,0.5561,12.0,0.5378,False,none
2026-06-17T11:52:50+00:00,CTVA,daily,accumulation,18.93,18.93,64.51,0.0,0.0,14.0,,,n/a,14.0,dropped 1 bar(s) with null OHLC,1.2204,76.0,1.084,72.0,0.1008,False,none
2026-06-17T11:52:50+00:00,CVNA,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.5235,96.0,0.8851,40.0,0.5494,False,none
2026-06-17T11:52:50+00:00,CVS,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.6671,8.0,0.9188,56.0,0.8756,False,none
2026-06-17T11:52:50+00:00,CVX,daily,accumulation,26.66,26.66,67.05,0.0,0.0,49.5,,,n/a,49.5,,0.7525,24.0,0.4373,4.0,0.9271,False,none
2026-06-17T11:52:50+00:00,D,daily,distribution,36.11,36.11,-78.39,0.0,0.0,-82.57,,,n/a,-82.57,,0.8784,32.0,0.7472,48.0,0.3421,False,none
2026-06-17T11:52:50+00:00,DAL,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.4976,92.0,0.9864,68.0,0.075,False,none
2026-06-17T11:52:50+00:00,DASH,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.5099,96.0,2.1261,100.0,0.9428,False,none
2026-06-17T11:52:50+00:00,DD,daily,distribution,13.64,13.64,0.0,0.0,0.0,-68.22,,,n/a,-68.22,,0.8926,40.0,0.7065,28.0,0.0874,False,none
2026-06-17T11:52:50+00:00,DDOG,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.0468,64.0,0.8332,56.0,0.4645,False,none
